regime,subset,unit,N,arm,skill,rmse_early,false_alarm,detect_corr
in_dist,DS07_id,6,1000,E_Lin,0.170412,0.004635377,0.01988187,0.99573427438736
in_dist,DS07_id,6,1000,E_MLP,-0.1893353,0.01304826,0.06291624,0.965082108974457
in_dist,DS07_id,6,1000,E_MixLinear,0.5518835,0.006591254,0.01723137,0.991159677505493
in_dist,DS07_id,6,1000,E_WPMixer,-1.293278,0.03007692,0.1112906,0.715947955846786
in_dist,DS07_id,6,1000,D,0.416836,0.004331083,0.01522124,0.997060237958682
ood_combo,DS02,11,1,Z_zero,0,0.005299265,0,0
ood_combo,DS02,11,1,E_Lin,0.8990105,0.01657867,0.009910631,0.890781939029694
ood_combo,DS02,11,1,E_MLP,0.1124455,0.04859754,0.05083266,0.643609642982483
ood_combo,DS02,11,1,E_MixLinear,0.6273711,0.02052588,0.01056472,0.9527747631073
ood_combo,DS02,11,1,E_WPMixer,-14.08136,0.2143744,0.2484564,0.396968935926755
ood_combo,DS02,11,1,D,0.9311191,0.00909593,0.001689117,0.979252012012263
ood_combo,DS02,11,10,Z_zero,0,0.005299265,0,0
ood_combo,DS02,11,10,E_Lin,0.9221165,0.008833809,0.005398517,0.950919151306152
ood_combo,DS02,11,10,E_MLP,0.7434369,0.0300699,0.0264607,0.788915495077769
ood_combo,DS02,11,10,E_MixLinear,0.7600365,0.02285896,0.006105506,0.972767929236094
ood_combo,DS02,11,10,E_WPMixer,-3.715767,0.1059282,0.1412327,0.57106672724088
ood_combo,DS02,11,10,D,0.9727176,0.003734478,0.001188713,0.991951241399166
ood_combo,DS02,11,100,Z_zero,0,0.005299265,0,0
ood_combo,DS02,11,100,E_Lin,0.9267349,0.007488579,0.00447758,0.978956043720245
ood_combo,DS02,11,100,E_MLP,0.845728,0.01657579,0.0207799,0.929126779238383
ood_combo,DS02,11,100,E_MixLinear,0.7486778,0.0204032,0.005465043,0.979821701844533
ood_combo,DS02,11,100,E_WPMixer,-2.105971,0.07511358,0.1138288,0.708203017711639
ood_combo,DS02,11,100,D,0.9790822,0.003169968,0.000924794,0.994733954499295
ood_combo,DS02,11,1000,Z_zero,0,0.005299265,0,0
ood_combo,DS02,11,1000,E_Lin,0.9275695,0.006716799,0.004155967,0.984186669190725
ood_combo,DS02,11,1000,E_MLP,0.86066,0.01533231,0.01964649,0.934350788593292
ood_combo,DS02,11,1000,E_MixLinear,0.7446972,0.0202289,0.005311695,0.979121486345927
ood_combo,DS02,11,1000,E_WPMixer,-1.96083,0.06974302,0.1101109,0.742792308330536
ood_combo,DS02,11,1000,D,0.9795998,0.003399447,0.0008687283,0.995953399885191
