mode,subset,unit,N,arm,lambda,skill,rmse,rmse_early,false_alarm,detect_corr
full,DS02,11,10,FreeMLP,0.316227766016838,0.658565482163437,0.0487574685086528,0.00484891128814385,0.000754890371623724,0.966934042063727
full,DS02,11,10,FreeMLP,1,0.819391764143538,0.0354614273149735,0.00338301094505793,0.000731547430121757,0.968837529630752
full,DS02,11,10,FreeMLP,3.16227766016838,0.914401841162834,0.0244129155213467,0.00324598306651184,0.000717843576799277,0.97600110301396
full,DS02,11,10,FreeMLP,10,0.96332999290789,0.0159787548438401,0.00316433404560019,0.000729950964450957,0.988454033285652
full,DS02,11,10,FreeMLP,31.6227766016838,0.976732347975889,0.0127281040425177,0.00310224785065048,0.000917040908056561,0.993659041892569
full,DS02,11,10,FreeMLP,100,0.966719795672538,0.0152223053235754,0.00300300297765447,0.00214411698478357,0.994305444678585
full,DS02,11,10,FreeMLP,316.227766016838,0.894782928546594,0.0270664028506515,0.00288813324761742,0.00465190381105939,0.994802857001747
full,DS02,11,10,FreeMLP,1000,0.73282213421518,0.0431308160074493,0.00313774211638153,0.00640189468005099,0.994903399615806
full,DS02,11,10,MoE_dir,0.1,0.522014735892946,0.0576892231242664,0.00503986818054386,0.000537832334191267,0.958425170102316
full,DS02,11,10,MoE_dir,0.316227766016838,0.682543129803721,0.0470142813234915,0.00383009434276686,0.000520179595552014,0.961678365909029
full,DS02,11,10,MoE_dir,1,0.840227501866147,0.0333532723258885,0.0034060095618161,0.000499987251002391,0.966681299846392
full,DS02,11,10,MoE_dir,3.16227766016838,0.919853301752449,0.0236227391552901,0.0032600901691802,0.000491247699490872,0.97706183050399
full,DS02,11,10,MoE_dir,10,0.963719774300084,0.0158936054128744,0.00317527864022092,0.000519197718377434,0.989360286925129
full,DS02,11,10,MoE_dir,31.6227766016838,0.975443030370922,0.0130759973279365,0.00312801471621862,0.000721181018093614,0.994054686169365
full,DS02,11,10,MoE_dir,100,0.964189238063255,0.0157904394753957,0.00303244152891902,0.0019699736044697,0.994481294424237
full,DS02,11,10,MoE_dir,316.227766016838,0.892208545430813,0.0273955234411657,0.00291063772390468,0.00451057014655449,0.994911935499397
full,DS02,11,10,MoE_dir,1000,0.731934195047225,0.0432024270557872,0.00314524060366163,0.00631580448689051,0.994891033873762
full,DS02,11,100,Z_zero,NaN,0,0.0834425248239435,0.00529926525882133,0,0
full,DS02,11,100,H0,0.1,0.603506625555952,0.0525418552757357,0.00801232340249959,0.000629773754658192,0.977766376435855
full,DS02,11,100,H0,0.316227766016838,0.771157890678109,0.0399167714752633,0.00733791860008085,0.000607827608001022,0.971241273390068
full,DS02,11,100,H0,1,0.874820854134851,0.0295225202086284,0.0055544210404602,0.000593871484369958,0.978088852672239
full,DS02,11,100,H0,3.16227766016838,0.941490172877911,0.0201837493389216,0.00313238987481282,0.000586468537213173,0.987535987088182
full,DS02,11,100,H0,10,0.970511610273931,0.0143289037495577,0.00282089183171473,0.000604194855342046,0.993007580251193
full,DS02,11,100,H0,31.6227766016838,0.979808150762579,0.0118570181336743,0.0027477308427551,0.000807265196644921,0.995166268154226
full,DS02,11,100,H0,100,0.970483827466157,0.0143356522268133,0.00262302701997964,0.00202565993202679,0.994995606550368
full,DS02,11,100,H0,316.227766016838,0.899538376802774,0.026447676985667,0.00244396708391195,0.00475201563623425,0.99433548329018
full,DS02,11,100,H0,1000,0.739607414516608,0.0425796162969723,0.00281061759647004,0.00648670021605409,0.995126695498482
full,DS02,11,100,TRA4,0.1,0.490398919535414,0.0595665718747491,0.00835213868487935,0.000593632231717172,0.959244702913917
full,DS02,11,100,TRA4,0.316227766016838,0.738260646256546,0.0426895866305644,0.00814053229918944,0.000564866419670723,0.96911517859069
full,DS02,11,100,TRA4,1,0.849206907143345,0.0324024732736957,0.0064787525788918,0.000549054920548031,0.976294495405662
full,DS02,11,100,TRA4,3.16227766016838,0.930095718243167,0.0220617178236445,0.00357066620851168,0.000542175915344914,0.986128024945793
full,DS02,11,100,TRA4,10,0.966448531629533,0.0152842172614649,0.00295468016768454,0.000555067493772472,0.992808971487956
full,DS02,11,100,TRA4,31.6227766016838,0.978238090623508,0.0123093730961328,0.00285555003672442,0.000776171584221665,0.995284454405751
full,DS02,11,100,TRA4,100,0.970830273489074,0.0142512715450977,0.00269782041543262,0.00208131239686995,0.995159974926367
full,DS02,11,100,TRA4,316.227766016838,0.900048670578703,0.02638042111972,0.00247336056713449,0.00490092561397619,0.994539875494171
full,DS02,11,100,TRA4,1000,0.738169890576845,0.0426969870971112,0.00282144725060921,0.00665279172576652,0.995099413786893
full,DS02,11,100,MoE_K4,0.1,0.494443578477852,0.0593297136374945,0.00795063902368434,0.000578612644755569,0.960552705534509
full,DS02,11,100,MoE_K4,0.316227766016838,0.737428905990409,0.0427573610875222,0.00781610087655304,0.000549829202245068,0.968987824023117
full,DS02,11,100,MoE_K4,1,0.847464102399955,0.0325891825967492,0.00622596354725847,0.000533389652272058,0.97493038917025
full,DS02,11,100,MoE_K4,3.16227766016838,0.930710995311718,0.0219644128399502,0.00345445627540059,0.000523462922651166,0.985614313633006
full,DS02,11,100,MoE_K4,10,0.966529655513351,0.0152657282723267,0.00280769910219841,0.000536175152040806,0.992433762608932
full,DS02,11,100,MoE_K4,31.6227766016838,0.977014639491721,0.0126506574571201,0.00272811632310539,0.000708461369761174,0.995301947647926
full,DS02,11,100,MoE_K4,100,0.966418960977843,0.0152909511653132,0.002606156982765,0.00180664853712552,0.995264742911207
full,DS02,11,100,MoE_K4,316.227766016838,0.895172641626541,0.0270162307801991,0.00245187442627449,0.0044241544492427,0.994484171388542
full,DS02,11,100,MoE_K4,1000,0.734622392142044,0.0429852615986514,0.00282247608752468,0.00632562339288677,0.994860936323257
full,DS02,11,100,FreeMLP,0.1,0.486132844477864,0.0598153800750433,0.00801576945705961,0.000586730733789388,0.960261445935302
full,DS02,11,100,FreeMLP,0.316227766016838,0.753556338318994,0.0414234496469278,0.00765246050699598,0.000555377538131561,0.970270474150114
full,DS02,11,100,FreeMLP,1,0.854418672225922,0.0318375965221523,0.00596533804089349,0.000540655743102356,0.97540882562316
full,DS02,11,100,FreeMLP,3.16227766016838,0.933996031065516,0.0214374173107433,0.003316317463161,0.000532391711549712,0.985538491250066
full,DS02,11,100,FreeMLP,10,0.968631719910953,0.0147785828347459,0.00280526526074793,0.000545742939924311,0.992549302198781
full,DS02,11,100,FreeMLP,31.6227766016838,0.978727737319726,0.0121701037393738,0.00273417731809156,0.000717476678244337,0.995299773998715
full,DS02,11,100,FreeMLP,100,0.968190680045438,0.014882114063727,0.00261458354874778,0.0018189563515815,0.995279941964335
full,DS02,11,100,FreeMLP,316.227766016838,0.896548921791208,0.0268382965493203,0.00245708056342764,0.00444767794734538,0.994446639289749
full,DS02,11,100,FreeMLP,1000,0.73485555344514,0.0429663739801672,0.00282504321286912,0.00635855655627147,0.994784626805422
full,DS02,11,100,MoE_dir,0.1,0.480542168200841,0.060139883965388,0.00789153330314638,0.000377220706093471,0.962157694574086
full,DS02,11,100,MoE_dir,0.316227766016838,0.719302132371995,0.0442086235616119,0.00774014555866024,0.000353765825845946,0.969069852568342
full,DS02,11,100,MoE_dir,1,0.843839331533285,0.0329741239631631,0.00625543212830215,0.000338291764176615,0.975441101184969
full,DS02,11,100,MoE_dir,3.16227766016838,0.929197303698194,0.0222030345630484,0.00371645249500674,0.00033246519061929,0.985934489476267
full,DS02,11,100,MoE_dir,10,0.966493613178719,0.0152739454635701,0.00290623844732347,0.000350692018345241,0.992687700152149
full,DS02,11,100,MoE_dir,31.6227766016838,0.977109054997829,0.0126246485696248,0.00273010884165077,0.000552215870155008,0.995393027423209
full,DS02,11,100,MoE_dir,100,0.965885433272699,0.0154119420209345,0.00258168267136665,0.0016893763749337,0.995399481721403
full,DS02,11,100,MoE_dir,316.227766016838,0.894143966296201,0.0271484628837191,0.00243833382084189,0.00433734233805591,0.994605144287398
full,DS02,11,100,MoE_dir,1000,0.733922448291511,0.0430419119256967,0.002819843938057,0.00626944556884559,0.994689246894207
full,DS02,11,1000,Z_zero,NaN,0,0.0834425248239435,0.00529926525882133,0,0
full,DS02,11,1000,H0,0.1,0.54648335385493,0.0561932373220597,0.00772456884891369,0.000652194903841395,0.985371371029765
full,DS02,11,1000,H0,0.316227766016838,0.747166451630976,0.0419570346524085,0.00702049929268826,0.000624173230285193,0.974965096295399
full,DS02,11,1000,H0,1,0.862012459777495,0.0309961228193106,0.00535098598141931,0.000602039887989642,0.979123246238648
full,DS02,11,1000,H0,3.16227766016838,0.940586540108988,0.0203390122805174,0.0037856564980433,0.000594995327574012,0.989001757920644
full,DS02,11,1000,H0,10,0.971095867601422,0.0141862433537335,0.00331800006239811,0.000609866772806236,0.99429085697433
