mode,subset,N,lambda,GroupCount,FreeMLP,H0,MoE_K4,MoE_dir,TRA4,gap
full,DS02,100,1000,3,0.680277840969956,0.682974468944291,0.680359910945646,0.679782073526519,0.681808565603908,-0.00261455799864485
full,DS02,1000,0.1,3,0.352963216605988,0.370448031805288,0.35193474032423,0.357222918098906,0.403689716253187,-0.018513291481059
full,DS02,1000,0.316227766016838,3,0.751586686570002,0.755496421786025,0.748043003011218,0.756521860750754,0.769051913061431,-0.00745341877480787
full,DS02,1000,1,3,0.891154386760868,0.902281149509085,0.88861772561908,0.8901258563257,0.895991631451338,-0.0136634238900046
full,DS02,1000,3.16227766016838,3,0.935969203904524,0.941436777978169,0.934530447107515,0.934690970053049,0.935620880751089,-0.00690633087065384
full,DS02,1000,10,3,0.945471197345989,0.947242584926845,0.944710882152521,0.944755853494855,0.943936149968033,-0.00253170277432457
full,DS02,1000,31.6227766016838,3,0.943177098611013,0.943793692415742,0.942422838320182,0.942351929888586,0.942805186419433,-0.0013708540955597
full,DS02,1000,100,3,0.921948468799295,0.92249035902043,0.921121701986369,0.920815262575057,0.923894739615945,-0.00136865703406153
full,DS02,1000,316.227766016838,3,0.841071961724249,0.842040663949119,0.840491412451172,0.839910413575736,0.84318499005211,-0.0015492514979466
full,DS02,1000,1000,3,0.680040675092448,0.682740143906995,0.680115742723664,0.679542866185138,0.681553243800915,-0.00262440118333074
full,DS03,1,0.1,6,0.558010821694257,-0.193052025456341,0.592568561071827,0.580138580857604,0.639758314190582,0.785620586528168
full,DS03,1,0.316227766016838,6,0.614782810425118,0.138607600443837,0.642703200658946,0.639261658387449,0.711461459218151,0.504095600215108
full,DS03,1,1,6,0.720042564260016,0.566286825777668,0.729462556063641,0.73141851666135,0.800298216482697,0.163175730285972
full,DS03,1,3.16227766016838,6,0.853468589842241,0.799890004071183,0.85396929582263,0.854768465361241,0.888602676428131,0.0540792917514468
full,DS03,1,10,6,0.920708359150282,0.905595933055961,0.920958500259272,0.921601813243569,0.931409841028517,0.0153625672033101
full,DS03,1,31.6227766016838,6,0.935876282912056,0.932553829038818,0.935655226012274,0.935836837685753,0.939738061744688,0.00310139697345568
full,DS03,1,100,6,0.907748714519257,0.905554743523385,0.907452979077577,0.907505105897428,0.911202957361027,0.00189823555419177
full,DS03,1,316.227766016838,6,0.804035563623941,0.801486822495725,0.80381342652101,0.803628434603139,0.805913056788821,0.00232660402528484
full,DS03,1,1000,6,0.622359825190702,0.621195335314272,0.622448505304365,0.621809216294794,0.621955273280693,0.00125316999009306
full,DS03,10,0.1,6,0.586372403014358,0.266369233903954,0.588488229134833,0.590926518065709,0.671570139809338,0.322118995230879
full,DS03,10,0.316227766016838,6,0.767516775061106,0.703938111099782,0.774042500764745,0.778839590286837,0.800084594101783,0.0701043896649636
full,DS03,10,1,6,0.886492353181744,0.875172637630746,0.886104205470288,0.889117295987562,0.892628865721794,0.0109315678395413
full,DS03,10,3.16227766016838,6,0.946125721466765,0.943790202774508,0.945487781876665,0.945478664745554,0.945803740987335,0.0016975791021564
