detection_FAR,detection_DR,detection_precision,detection_F1,detection_delay,isolation_microF1,isolation_macroF1,hamming_loss,stage_weighted_kappa,stage_MAE,stage_reversals,unknown_rate,regime,subset,unit,split_seed
0.0285714285714286,1,0.980392156862745,0.99009900990099,-1,0.755555555555556,0.604542807221899,0.0718954248366013,0.970984809694487,0.0941176470588235,0,0,test_id,DS07_id,5,314161
0,0.870967741935484,1,0.931034482758621,8,0.857142857142857,0.855242445276283,0.0883190883190883,0.938284164123432,0.179487179487179,0,0,test_id,DS06_id,2,314161
0.388888888888889,1,0.854166666666667,0.921348314606742,-7,0.722466960352423,0.381860024367131,0.11864406779661,0.787302223112357,0.372881355932203,0,0,ood_combo,DS02,11,314161
0.514285714285714,1,0.694915254237288,0.82,-18,0.640569395017794,0.401937701396348,0.14766081871345,0.730872411202919,0.526315789473684,0,0,ood_combo,DS02,14,314161
0,0.909090909090909,1,0.952380952380952,4,0.711711711711712,0.315356664754255,0.106135986733002,0.894654088050314,0.238805970149254,0,0.0149253731343284,ood_combo,DS02,15,314161
0,0.918367346938776,1,0.957446808510638,4,0.923076923076923,0.922295789317066,0.0353535353535354,0.928659666460778,0.181818181818182,0,0,ood_combo,DS03,10,314161
0.222222222222222,1,0.911111111111111,0.953488372093023,-4,0.80184331797235,0.542719919110212,0.0809792843691149,0.865168539325843,0.271186440677966,0,0,ood_combo,DS03,11,314161
0.611111111111111,1,0.721518987341772,0.838235294117647,-22,0.750572082379863,0.688181649748273,0.130227001194743,0.711801669966428,0.451612903225806,0,0,ood_combo,DS03,12,314161
0,0.983050847457627,1,0.991452991452991,1,0.780821917808219,0.491341508732813,0.0923520923520924,0.928032899246059,0.168831168831169,0,0,ood_combo,DS03,13,314161
0.4,1,0.745454545454545,0.854166666666667,-14,0.797297297297297,0.540068542568543,0.087719298245614,0.803793916264452,0.342105263157895,0,0,ood_combo,DS03,14,314161
0,0.976744186046512,1,0.988235294117647,1,0.745454545454545,0.390418143160879,0.0928689883913764,0.946811325747552,0.149253731343284,0,0.0149253731343284,ood_combo,DS03,15,314161
0.08,1,0.974025974025974,0.986842105263158,-2,0.451807228915663,0.246710526315789,0.202222222222222,0.905334211392822,0.23,0,0,test_id,DS01-005_id,3,314162
0.266666666666667,1,0.931034482758621,0.964285714285714,-4,0.863247863247863,0.473744695898161,0.0515297906602254,0.961491237861368,0.072463768115942,0,0,test_id,DS04_id,4,314162
0.0285714285714286,1,0.984848484848485,0.99236641221374,-1,0.875420875420875,0.398473282442748,0.0411111111111111,0.975791949093927,0.05,0,0,test_id,DS05_id,5,314162
0.5,1,0.881578947368421,0.937062937062937,-9,0.675324675324675,0.5495337995338,0.130718954248366,0.878948731227343,0.258823529411765,0,0,test_id,DS07_id,2,314162
0.727272727272727,1,0.777777777777778,0.875,-16,0.8,0.678066306630663,0.126780626780627,0.871074380165289,0.307692307692308,0,0,test_id,DS06_id,1,314162
0.444444444444444,1,0.836734693877551,0.911111111111111,-8,0.936507936507936,0.711544011544011,0.0301318267419962,0.908753479740179,0.254237288135593,0,0,ood_combo,DS02,11,314162
0.542857142857143,1,0.683333333333333,0.811881188118812,-19,0.854166666666667,0.646342390052959,0.0614035087719298,0.847136772361571,0.342105263157895,0,0,ood_combo,DS02,14,314162
0.260869565217391,1,0.88,0.936170212765957,-6,0.934865900383142,0.703845108359898,0.0281923714759536,0.956864638660872,0.119402985074627,0,0,ood_combo,DS02,15,314162
0.470588235294118,1,0.859649122807018,0.924528301886792,-8,0.912280701754386,0.909677977975614,0.0420875420875421,0.935205183585313,0.151515151515152,0,0,ood_combo,DS03,10,314162
0.444444444444444,1,0.836734693877551,0.911111111111111,-8,0.936507936507936,0.711544011544011,0.0301318267419962,0.902920608802962,0.271186440677966,0,0,ood_combo,DS03,11,314162
0.777777777777778,1,0.670588235294118,0.802816901408451,-28,0.777777777777778,0.637776874924762,0.109916367980884,0.674100031857279,0.505376344086022,0,0,ood_combo,DS03,12,314162
0.333333333333333,1,0.907692307692308,0.951612903225806,-6,0.943820224719101,0.942797896460764,0.0288600288600289,0.921187308085977,0.181818181818182,0,0,ood_combo,DS03,13,314162
0.628571428571429,1,0.650793650793651,0.788461538461539,-22,0.848275862068965,0.853983303518187,0.064327485380117,0.817676767676768,0.368421052631579,0,0,ood_combo,DS03,14,314162
0.708333333333333,1,0.716666666666667,0.83495145631068,-17,0.856115107913669,0.645230882337605,0.066334991708126,0.884765094595818,0.283582089552239,0,0,ood_combo,DS03,15,314162
0.027027027027027,1,0.983050847457627,0.991452991452991,-1,0.485355648535565,0.198290598290598,0.143859649122807,0.928490779074144,0.210526315789474,0,0,test_id,DS01-005_id,4,314163
0,0.976190476190476,1,0.987951807228916,2,0.83695652173913,0.47775718257646,0.0666666666666667,0.984035759897829,0.03,0,0.11,test_id,DS04_id,5,314163
0,0.870967741935484,1,0.931034482758621,8,0.633228840125392,0.256202829122791,0.1625,0.936254980079681,0.175,0,0.0125,test_id,DS05_id,2,314163
0,0.704545454545455,1,0.826666666666667,13,0.519607843137255,0.250570087189806,0.162520729684909,0.768930874194032,0.447761194029851,0,0,test_id,DS07_id,1,314163
0.78125,1,0.6875,0.814814814814815,-25,0.771217712177122,0.508837826728062,0.158365261813538,0.774025974025974,0.482758620689655,0,0.0919540229885057,test_id,DS06_id,4,314163
0.444444444444444,1,0.836734693877551,0.911111111111111,-8,0.829457364341085,0.448541078118543,0.0828625235404896,0.900768861124459,0.23728813559322,0,0,ood_combo,DS02,11,314163
0.342857142857143,1,0.773584905660377,0.872340425531915,-12,0.888888888888889,0.685928243637881,0.0423976608187134,0.924322889006904,0.197368421052632,0,0,ood_combo,DS02,14,314163
0,0.863636363636364,1,0.926829268292683,6,0.791044776119403,0.667512018700657,0.0928689883913764,0.863200879535103,0.208955223880597,0,0.0149253731343284,ood_combo,DS02,15,314163
0.117647058823529,1,0.96078431372549,0.98,-2,0.88339222614841,0.681707188160677,0.0555555555555556,0.926711084191399,0.166666666666667,0,0,ood_combo,DS03,10,314163
0.333333333333333,1,0.872340425531915,0.931818181818182,-6,0.845849802371542,0.542390707883666,0.0734463276836158,0.917578579743888,0.203389830508475,0,0,ood_combo,DS03,11,314163
0.333333333333333,1,0.826086956521739,0.904761904761905,-12,0.896,0.710959143162533,0.046594982078853,0.907962213225371,0.193548387096774,0,0,ood_combo,DS03,12,314163
0,0.983050847457627,1,0.991452991452991,1,0.869565217391304,0.457271676611299,0.0649350649350649,0.977671451355662,0.051948051948052,0,0,ood_combo,DS03,13,314163
0.4,1,0.745454545454545,0.854166666666667,-14,0.828897338403042,0.533422238027501,0.0657894736842105,0.912938005390836,0.223684210526316,0,0,ood_combo,DS03,14,314163
0,0.976744186046512,1,0.988235294117647,1,0.873563218390805,0.701968964736087,0.054726368159204,0.973003465226851,0.0746268656716418,0,0,ood_combo,DS03,15,314163
