perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
noise,1,43,NaN,test_id,DS05_id,2,0.00979858485297726,0.862385321100917,0.336286588029707,0.864655839133797,0.3125,0.929990957511564
noise,1,43,NaN,test_id,DS07_id,3,0.012841368120092,0.96078431372549,0.37360016171417,0.920343137254902,0.153846153846154,1.03480252788259
noise,1,43,NaN,test_id,DS06_id,4,0.0199258190706938,0.827067669172932,0.622089743428446,0.87340193327097,0.32183908045977,1.05012751445102
noise,1,43,NaN,ood_combo,DS02,11,0.120295032860837,0.881720430107527,0.371344086021505,0.662566094744793,0.525423728813559,0.965516972011398
noise,1,43,NaN,ood_combo,DS03,10,0.0629452452427409,0.882882882882883,0.623125045660257,0.853897978825794,0.348484848484849,1.06329477750391
bias,0.25,43,2,test_id,DS01-005_id,4,0.101486610793191,0.878787878787879,0.175757575757576,0.84385506163616,0.315789473684211,0.00480769230769231
bias,0.25,43,2,test_id,DS04_id,6,0.0281264488816341,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0.00480769230769231
bias,0.25,43,5,test_id,DS05_id,2,0.00416846171361243,0.862385321100917,0.571412390984256,0.880860876249039,0.2625,0.00480769230769231
bias,0.25,43,9,test_id,DS07_id,3,0.0222043226997019,0.96078431372549,0.622666936190284,0.902985074626866,0.205128205128205,0.00480769230769231
bias,0.25,43,1,test_id,DS06_id,4,0.0173992399746719,0.990825688073394,0.526875658520289,0.955893536121673,0.114942528735632,0.00480769230769231
bias,0.25,43,6,ood_combo,DS02,11,0.0278568321604917,0.854166666666667,0.90794630133437,0.626159764652636,0.576271186440678,0.00480769230769231
bias,0.25,43,4,ood_combo,DS03,10,0.0367113972587425,0.924528301886792,0.718237338629593,0.941798941798942,0.136363636363636,0.00480769230769231
bias,0.5,43,2,test_id,DS01-005_id,4,0.102084677102857,0.778523489932886,0.175757575757576,0.800599700149925,0.452631578947368,0.0192307692307692
bias,0.5,43,2,test_id,DS04_id,6,0.0283370076738222,0.928,0.297116809116809,0.944703530979347,0.144578313253012,0.0192307692307692
bias,0.5,43,5,test_id,DS05_id,2,0.00429480208333292,0.862385321100917,0.574923547400612,0.884437596302003,0.25,0.0192307692307692
bias,0.5,43,9,test_id,DS07_id,3,0.0223112472837504,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0.0192307692307692
bias,0.5,43,1,test_id,DS06_id,4,0.0171529911266061,0.901639344262295,0.532132106985083,0.914189093983373,0.241379310344828,0.0192307692307692
bias,0.5,43,6,ood_combo,DS02,11,0.0300405865420882,0.854166666666667,0.683971774193548,0.626159764652636,0.576271186440678,0.0192307692307692
bias,0.5,43,4,ood_combo,DS03,10,0.0445281174165691,0.882882882882883,0.5742995951417,0.581521739130435,0.454545454545455,0.0192307692307692
bias,1,43,2,test_id,DS01-005_id,4,0.0993247857411767,0.778523489932886,0.175757575757576,0.40585495675316,0.789473684210526,0.0769230769230769
bias,1,43,2,test_id,DS04_id,6,0.0296784271804093,0.917808219178082,0.295471264367816,0.538274700305571,0.566265060240964,0.0769230769230769
bias,1,43,5,test_id,DS05_id,2,0.0052760725034178,0.862385321100917,0.574923547400612,0.878048780487805,0.275,0.0769230769230769
bias,1,43,9,test_id,DS07_id,3,0.0180657825307019,0.96078431372549,0.432056543547652,0.902985074626866,0.205128205128205,0.0769230769230769
bias,1,43,1,test_id,DS06_id,4,0.0167097219173547,0.901639344262295,0.543527064742108,0.914189093983373,0.241379310344828,0.0769230769230769
bias,1,43,6,ood_combo,DS02,11,0.0397108376993589,0.854166666666667,0.407411876161876,0.552449068053749,0.711864406779661,0.0769230769230769
bias,1,43,4,ood_combo,DS03,10,0.055884880819877,0.882882882882883,0.453725671918443,0.593505039193729,0.439393939393939,0.0769230769230769
missing_channel,1,0,1,test_id,DS01-005_id,4,0.104807933762681,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211,0
missing_channel,1,0,1,test_id,DS04_id,6,0.0281653583684016,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0
missing_channel,1,0,1,test_id,DS05_id,2,0.00557361448945885,0.862385321100917,0.560477646716179,0.865694551036071,0.3125,0
missing_channel,1,0,1,test_id,DS07_id,3,0.0171051889562593,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0
missing_channel,1,0,1,test_id,DS06_id,4,0.0173797627284595,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195,0
