quantile,subset,unit,N,component,mean_gain,mean_abs_gain_minus1
0.75,DS03,12,1,9,1.09565010378438,0.0956501037843766
0.75,DS03,12,10,1,1.03590791712525,0.0364524164507466
0.75,DS03,12,10,2,0.926150510388036,0.0741426137185866
0.75,DS03,12,10,3,0.878250911671628,0.121749088328372
0.75,DS03,12,10,4,1.07711381809686,0.0771138180968582
0.75,DS03,12,10,5,1.05963132073802,0.0596313207380233
0.75,DS03,12,10,6,1.08999647824995,0.0905636516950464
0.75,DS03,12,10,7,1.05951678560626,0.0598707359324219
0.75,DS03,12,10,8,1.25975614978421,0.259756149784211
0.75,DS03,12,10,9,1.0986875039275,0.0986875039274974
0.75,DS03,12,100,1,1.03716487525612,0.037164875256118
0.75,DS03,12,100,2,0.926184474780995,0.0738155252190046
0.75,DS03,12,100,3,0.87771552096131,0.12228447903869
0.75,DS03,12,100,4,1.07877504441046,0.0787750444104595
0.75,DS03,12,100,5,1.06097354812007,0.060973548120068
0.75,DS03,12,100,6,1.09226202964783,0.0922620296478271
0.75,DS03,12,100,7,1.0612676002646,0.0612676002646005
0.75,DS03,12,100,8,1.2618463718763,0.261846371876296
0.75,DS03,12,100,9,1.09980553452687,0.099805534526866
0.75,DS03,12,1000,1,1.03720078545232,0.0372007854523197
0.75,DS03,12,1000,2,0.925880070655577,0.0741199293444234
0.75,DS03,12,1000,3,0.877268671989441,0.122731328010559
0.75,DS03,12,1000,4,1.07879558429923,0.0787955842992311
0.75,DS03,12,1000,5,1.06101540211708,0.0610154021170832
0.75,DS03,12,1000,6,1.09223276697179,0.0922327669717932
0.75,DS03,12,1000,7,1.06131307668583,0.0613130766858337
0.75,DS03,12,1000,8,1.26185885680619,0.261858856806191
0.75,DS03,12,1000,9,1.09991944477122,0.0999194447712232
0.75,DS03,13,1,1,1.07110872593793,0.0720497780031972
0.75,DS03,13,1,2,1.13521142129774,0.149594724952401
0.75,DS03,13,1,3,1.16268525185523,0.185910358057394
0.75,DS03,13,1,4,1.1332325470912,0.133232547091199
0.75,DS03,13,1,5,1.07808922327958,0.0780892232795814
0.75,DS03,13,1,6,1.20572015062555,0.205720150625551
0.75,DS03,13,1,7,1.11119406641304,0.111742731038626
0.75,DS03,13,1,8,1.3155198267528,0.315519826752799
0.75,DS03,13,1,9,1.04241490209257,0.0424149020925745
0.75,DS03,13,10,1,1.07069566187921,0.0706956618792051
0.75,DS03,13,10,2,1.12212193941141,0.129999998327974
0.75,DS03,13,10,3,1.14405463655274,0.159859142520211
0.75,DS03,13,10,4,1.13206624984741,0.132066249847412
0.75,DS03,13,10,5,1.07881731646402,0.0788173164640154
0.75,DS03,13,10,6,1.20166705800341,0.201667058003413
0.75,DS03,13,10,7,1.11045155432317,0.110451554323172
0.75,DS03,13,10,8,1.31493805600451,0.314938056004512
0.75,DS03,13,10,9,1.04748878695748,0.0474887869574807
0.75,DS03,13,100,1,1.07079503752969,0.0707950375296853
0.75,DS03,13,100,2,1.12528293086337,0.128648752515966
0.75,DS03,13,100,3,1.14855440560873,0.155109767789965
0.75,DS03,13,100,4,1.13234664402999,0.132346644029989
0.75,DS03,13,100,5,1.0786396543701,0.0786396543700974
0.75,DS03,13,100,6,1.20264418094189,0.202644180941891
0.75,DS03,13,100,7,1.11063028310801,0.110630283108005
0.75,DS03,13,100,8,1.31507493458785,0.31507493458785
0.75,DS03,13,100,9,1.04626042502267,0.0462604250226702
0.75,DS03,13,1000,1,1.07073606453933,0.0707360645393273
0.75,DS03,13,1000,2,1.12582942262872,0.129362138834867
0.75,DS03,13,1000,3,1.14936364625956,0.156230417164889
0.75,DS03,13,1000,4,1.13230127947671,0.132301279476711
0.75,DS03,13,1000,5,1.07854028800865,0.0785402880086527
0.75,DS03,13,1000,6,1.20268537936273,0.202685379362726
0.75,DS03,13,1000,7,1.11055547695655,0.110555476956553
0.75,DS03,13,1000,8,1.31499879236345,0.314998792363452
0.75,DS03,13,1000,9,1.04600383554186,0.0460038355418614
0.75,DS03,14,1,1,1.03064568889768,0.0413810344118821
0.75,DS03,14,1,2,0.910164746798967,0.0980274787074641
