quantile,subset,unit,N,lambda,Z_zero_skill,H0_skill,MoE_skill,gap
0.75,DS03,11,1,0.01,0,-1.35127224506638,0.0231989666268001,1.37447121169318
0.75,DS03,11,1,0.0316227766016838,0,-1.35106982553549,0.0284526427212846,1.37952246825678
0.75,DS03,11,1,0.1,0,-1.12478846342317,0.046338254314045,1.17112671773722
0.75,DS03,11,1,0.316227766016838,0,-0.0180283220376003,0.308364925570687,0.326393247608287
0.75,DS03,11,1,1,0,0.308071566047528,0.525099785815474,0.217028219767946
0.75,DS03,11,1,3.16227766016838,0,0.70396771987335,0.765238394351921,0.0612706744785709
0.75,DS03,11,1,10,0,0.889143348583625,0.90725950475577,0.0181161561721453
0.75,DS03,11,1,31.6227766016838,0,0.939840060093659,0.948508220395911,0.00866816030225226
0.75,DS03,11,1,100,0,0.963294117385831,0.95734566304302,-0.0059484543428111
0.75,DS03,11,1,316.227766016838,0,0.92084625716869,0.911099513426288,-0.00974674374240214
0.75,DS03,11,1,1000,0,0.772351097999195,0.762241652513448,-0.0101094454857465
0.75,DS03,11,10,0.001,0,-1.1896612416053,-0.104584605360363,1.08507663624494
0.75,DS03,11,10,0.00316227766016838,0,-1.18714967091682,-0.0803521980495618,1.10679747286726
0.75,DS03,11,10,0.01,0,-1.17926267122936,-0.0378472937433525,1.14141537748601
0.75,DS03,11,10,0.0316227766016838,0,-1.10797208061036,0.097884253818632,1.205856334429
0.75,DS03,11,10,0.1,0,-0.154126733474954,0.3299632423978,0.484089975872754
0.75,DS03,11,10,0.316227766016838,0,0.416065018846931,0.562340771216711,0.14627575236978
0.75,DS03,11,10,1,0,0.707766562575474,0.771366837477027,0.0636002749015523
0.75,DS03,11,10,3.16227766016838,0,0.877452546208615,0.896704762081108,0.0192522158724933
0.75,DS03,11,10,10,0,0.941855017622238,0.947028871960042,0.00517385433780382
0.75,DS03,11,10,31.6227766016838,0,0.963878612203127,0.964226315111759,0.000347702908632841
0.75,DS03,11,10,100,0,0.971767444453929,0.964023350053087,-0.00774409440084223
0.75,DS03,11,10,316.227766016838,0,0.918613216958866,0.908535053863029,-0.0100781630958363
0.75,DS03,11,10,1000,0,0.766358981582689,0.757077371109956,-0.00928161047273313
0.75,DS03,11,100,0.001,0,-1.2541591784572,-0.166726403704845,1.08743277475236
0.75,DS03,11,100,0.00316227766016838,0,-1.23862256234292,-0.164826381052728,1.07379618129019
0.75,DS03,11,100,0.01,0,-1.23435709339022,-0.140778237366185,1.09357885602404
0.75,DS03,11,100,0.0316227766016838,0,-1.23388333887443,-0.0671897834320769,1.16669355544236
0.75,DS03,11,100,0.1,0,-0.511624255553856,0.186297263396801,0.697921518950657
0.75,DS03,11,100,0.316227766016838,0,0.446147302645297,0.637117471586532,0.190970168941235
0.75,DS03,11,100,1,0,0.739349330403374,0.816846369645048,0.0774970392416733
0.75,DS03,11,100,3.16227766016838,0,0.885978596828797,0.909668939695686,0.0236903428668891
0.75,DS03,11,100,10,0,0.946551851370195,0.953322139562537,0.00677028819234193
0.75,DS03,11,100,31.6227766016838,0,0.965444659456021,0.967267208301209,0.00182254884518884
0.75,DS03,11,100,100,0,0.97088262635748,0.96417392719572,-0.00670869916175998
0.75,DS03,11,100,316.227766016838,0,0.916510934188962,0.907063624830876,-0.00944730935808624
0.75,DS03,11,100,1000,0,0.764962462419203,0.755797441337226,-0.0091650210819767
0.75,DS03,11,1000,0.001,0,-1.23051634885298,-0.173049119612841,1.05746722924014
0.75,DS03,11,1000,0.00316227766016838,0,-1.22230304442606,-0.170035948350798,1.05226709607527
0.75,DS03,11,1000,0.01,0,-1.22204905244964,-0.15968644205436,1.06236261039528
0.75,DS03,11,1000,0.0316227766016838,0,-1.22124678275865,-0.107414855474125,1.11383192728452
0.75,DS03,11,1000,0.1,0,-0.561756803990741,0.135050270307125,0.696807074297865
0.75,DS03,11,1000,0.316227766016838,0,0.432761726482583,0.60913914879363,0.176377422311047
0.75,DS03,11,1000,1,0,0.731787250094496,0.798393444955716,0.0666061948612202
0.75,DS03,11,1000,3.16227766016838,0,0.886191465254268,0.904047437808712,0.0178559725544433
0.75,DS03,11,1000,10,0,0.94673544898758,0.952569381393393,0.0058339324058132
0.75,DS03,11,1000,31.6227766016838,0,0.965481161881158,0.967060799697579,0.00157963781642123
0.75,DS03,11,1000,100,0,0.971090557508037,0.964191752888547,-0.00689880461949055
0.75,DS03,11,1000,316.227766016838,0,0.917179883813251,0.907581177316605,-0.00959870649664607
0.75,DS03,11,1000,1000,0,0.765632591049298,0.756474504881627,-0.00915808616767166
0.75,DS03,12,1,0.001,0,-1.2366167409814,-0.993028475356841,0.243588265624559
0.75,DS03,12,1,0.00316227766016838,0,-1.23659160873175,-0.993009658909388,0.243581949822363
0.75,DS03,12,1,0.01,0,-1.23651213909257,-0.992950159721127,0.24356197937144
0.75,DS03,12,1,0.0316227766016838,0,-1.23626088913915,-0.992762043191571,0.243498845947575
0.75,DS03,12,1,0.1,0,-1.23546691771851,-0.871721027189961,0.363745890528548
0.75,DS03,12,1,0.316227766016838,0,-0.462863681175716,-0.346338715966466,0.116524965209249
0.75,DS03,12,1,1,0,0.393537226854883,0.303417467069048,-0.0901197597858344
0.75,DS03,12,1,3.16227766016838,0,0.769127619711328,0.720576565273393,-0.0485510544379354
0.75,DS03,12,1,10,0,0.899087233447527,0.875851098009415,-0.0232361354381114
