subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,10,D,0.001,0.1111050735656246,0.07867063402995013,0.008009927070708715,0.0008311912999454792,0.9898302604528376,8.279035091033554,2.5399130365299056,8.220373305012183
DS02,11,10,B,0.0031622776601683794,-36.2659239434037,0.5093817524935399,0.6327113260715449,0.012412768005621903,0.05702554394144948,3.094709177373881,11.992795211282958,8.220373305012183
DS02,11,10,D,0.0031622776601683794,0.14661654650420475,0.0770831662937665,0.008009900759329008,0.0008282689386693052,0.9909520986295449,8.279049289871992,2.5173493452830122,8.220373305012183
DS02,11,10,B,0.01,-25.43819445936085,0.4290454818488898,0.533638041226868,0.012080721366905694,0.07901911680128304,3.1354524868663125,10.172197267094843,8.220373305012183
DS02,11,10,D,0.01,0.24088142197045714,0.07270131170887506,0.008009818903180806,0.0008198418536546922,0.991747929817799,8.27916770057056,2.4569484787303386,8.220373305012183
DS02,11,10,B,0.03162277660168379,-10.741206229627538,0.28591951255883263,0.3570725373783473,0.011516085604198959,0.1466567168662842,3.2948293333224594,6.968711329185942,8.220373305012183
DS02,11,10,D,0.03162277660168379,0.4180726828786844,0.06365342971521473,0.00800955723224392,0.0008003897531395353,0.9914283870168782,8.279836423338748,2.3398864626824514,8.220373305012183
DS02,11,10,B,0.1,-1.759556938827184,0.13861400642488125,0.17506063858692966,0.011016741210393397,0.3374419891595953,3.5613101906402203,3.842370888600067,8.220373305012183
DS02,11,10,D,0.1,0.6547572711878662,0.04902862423491145,0.008008756470100907,0.0007667568554761713,0.9888246673592543,8.282793933823463,2.1785009294672575,8.220373305012183
DS02,11,10,B,0.31622776601683794,0.5902599358683318,0.05341234581375037,0.06862348235827352,0.010725271263333794,0.7026296777227193,3.758617054517083,2.3926158595272637,8.220373305012183
DS02,11,10,D,0.31622776601683794,0.8216055075333152,0.03524342911588646,0.008006032825518062,0.0007382792013618718,0.9864928164372387,8.28739925373327,2.0703007326907152,8.220373305012183
