subset,unit,N,method,criterion,lam,skill,rmse,rmse_early,false_alarm,detect_corr,delta
DS02,14,1000,B,Morozov_tau1.0,1e-06,-25.18527855837485,0.3999354662644876,0.36497720890633206,0.005939253904969699,0.10144832563966134,0.8930009692402003
DS02,14,1000,B,Morozov_tau1.5,1e-06,-25.18527855837485,0.3999354662644876,0.36497720890633206,0.005939253904969699,0.10144832563966134,0.8930009692402003
DS02,14,1000,B,Morozov_tau2.0,0.1,-0.7355433679680727,0.10296249433504569,0.09166652163324307,0.005066923879050648,0.43178336973800485,0.8930009692402003
DS02,14,1000,B,Morozov_tau3.0,31.622776601683793,0.8491234141160844,0.030357936202081073,0.004846812040125107,0.004619599611141312,0.9855938787244293,0.8930009692402003
DS02,14,1000,B,oracle,3.1622776601683795,0.8539315562995073,0.02987029563430456,0.00709161723753577,0.005094292743105125,0.9766974761491761,0.8930009692402003
DS02,14,1000,B,lam_dev,3.1622776601683795,0.8539315562995073,0.02987029563430456,0.00709161723753577,0.005094292743105125,0.9766974761491761,0.8930009692402003
DS02,14,1000,D,L_curve,0.00031622776601683794,0.5107695660472711,0.05466609512975687,0.005970083927586189,0.0013416930940134625,0.9519618736420069,0.8930009692402003
DS02,14,1000,D,Morozov_tau1.0,1e-06,0.5106752011218024,0.05467136699441106,0.0059700866359525115,0.0013417184184486796,0.9519530243307432,0.8930009692402003
DS02,14,1000,D,Morozov_tau1.5,1e-06,0.5106752011218024,0.05467136699441106,0.0059700866359525115,0.0013417184184486796,0.9519530243307432,0.8930009692402003
DS02,14,1000,D,Morozov_tau2.0,1e-06,0.5106752011218024,0.05467136699441106,0.0059700866359525115,0.0013417184184486796,0.9519530243307432,0.8930009692402003
DS02,14,1000,D,Morozov_tau3.0,1e-06,0.5106752011218024,0.05467136699441106,0.0059700866359525115,0.0013417184184486796,0.9519530243307432,0.8930009692402003
DS02,14,1000,D,oracle,1.0,0.931271504328043,0.020489423497886607,0.0059604520784247795,0.0011562361426242919,0.9751028256612182,0.8930009692402003
DS02,14,1000,D,lam_dev,31.622776601683793,0.8611629834966605,0.029121514426813384,0.0023523836281593553,0.0015698020692435073,0.9927976231904427,0.8930009692402003
DS02,15,1,B,L_curve,10.0,0.8008127410754335,0.03496477182247784,0.0335647411540344,0.022656870116705287,0.9276258809357053,27.439722344723783
DS02,15,1,B,Morozov_tau1.0,1000.0,0.6578794053144859,0.045823634254689063,0.010206452478539907,0.012005162813793338,0.9680877489653134,27.439722344723783
DS02,15,1,B,Morozov_tau1.5,3162.2776601683795,0.4344468608398695,0.05891645798408853,0.007433110051619554,0.008647958636250789,0.9726021827507646,27.439722344723783
DS02,15,1,B,Morozov_tau2.0,10000.0,0.21362732499396386,0.06947269203196187,0.006000602583544821,0.005163688663198011,0.9757061458666639,27.439722344723783
DS02,15,1,B,Morozov_tau3.0,10000.0,0.21362732499396386,0.06947269203196187,0.006000602583544821,0.005163688663198011,0.9757061458666639,27.439722344723783
DS02,15,1,B,oracle,100.0,0.8741968642845048,0.027787255473719623,0.020376804899242505,0.01611954398069709,0.9488345069875274,27.439722344723783
