subset,unit,parameter,is_fault,rmse_pct,terminal_abs_error_pct,Z_zero_rmse_pct
DS03,11,LPC_flow_mod,0,0.01314181461419,0.0168240322405106,0
DS03,12,HPT_eff_mod,1,0.0798541912835375,0.194985777771428,0.365233186953691
DS03,12,fan_eff_mod,0,0.0087815745103561,0.0178730772508363,0
DS03,12,fan_flow_mod,0,0.0114970217069139,0.0189763676911425,0
DS03,12,HPC_eff_mod,0,0.036949165907491,0.0937711755554076,0
DS03,12,HPC_flow_mod,0,0,0,0
DS03,12,LPT_eff_mod,1,0.022993198518188,0.0462366742486381,0.256148574156477
DS03,12,LPT_flow_mod,1,0.0690636740359804,0.177068736098564,0.264948816669758
DS03,12,LPC_eff_mod,0,0.0130836756182849,0.0134956309819471,0
DS03,12,LPC_flow_mod,0,0.0474259570712721,0.0706933200564261,0
DS03,13,HPT_eff_mod,1,0.014721922704259,0.0178525751823966,0.28744751701814
DS03,13,fan_eff_mod,0,0.0655527433138488,0.169904901580146,0
DS03,13,fan_flow_mod,0,0,0,0
DS03,13,HPC_eff_mod,0,0.0111437240594768,0.0305649654532714,0
DS03,13,HPC_flow_mod,0,0,0,0
DS03,13,LPT_eff_mod,1,0.0837150109962924,0.191071925014555,0.716044305525437
DS03,13,LPT_flow_mod,1,0.0333159954242346,0.0611363574016099,0.230353620329013
DS03,13,LPC_eff_mod,0,0,0,0
DS03,13,LPC_flow_mod,0,0.0191909596062592,0.0559538514314056,0
DS03,14,HPT_eff_mod,1,0.0697960194004612,0.187971012173715,0.224112009999264
DS03,14,fan_eff_mod,0,0.00051553398684567,0.000561790137655226,0
DS03,14,fan_flow_mod,0,0.00708294785902283,0.0204173735082911,0
DS03,14,HPC_eff_mod,0,0.0378407011404217,0.101110467800459,0
DS03,14,HPC_flow_mod,0,0,0,0
DS03,14,LPT_eff_mod,1,0.122527541737931,0.321572531990531,0.290037281244735
DS03,14,LPT_flow_mod,1,0.23587441563097,0.630135688193965,0.608051975994413
DS03,14,LPC_eff_mod,0,0.0220404275827465,0.0395567649059249,0
DS03,14,LPC_flow_mod,0,0.0153716430657467,0.036676298954429,0
DS03,15,HPT_eff_mod,1,0.0314328601139528,0.0685546976268132,0.339810834575503
DS03,15,fan_eff_mod,0,0.0341640149167911,0.0692345102638101,0
DS03,15,fan_flow_mod,0,0.00249694206274295,0.00526965889489376,0
DS03,15,HPC_eff_mod,0,0.0299377066773156,0.072951803455315,0
DS03,15,HPC_flow_mod,0,0.0027943066781322,0.0064781788871955,0
DS03,15,LPT_eff_mod,1,0.0454308345740836,0.0800269195168285,0.365222236311981
DS03,15,LPT_flow_mod,1,0.0260822510843182,0.0168234215636706,0.359315398892221
DS03,15,LPC_eff_mod,0,0.00177736972418367,0.00207834259978414,0
DS03,15,LPC_flow_mod,0,0.0127499127548263,0.0329490136318749,0
