subset,align_pct,unit,N,method,skill,rmse_early,false_alarm,detect_corr,rmse
DS02,2.548968189006109,15,100,D_约束+收缩★,0.9908663371671532,0.0027980639492800204,0.001517762796414825,0.9966058245511583,0.00748725127836619
DS02,2.548968189006109,15,1000,Z_全零,0.0,0.005145058614833983,0.0,0.0,0.07834294999233453
DS02,2.548968189006109,15,1000,A_无约束无收缩,-40.926392296920234,0.35992948009752807,0.007997050642159597,0.22575132028052683,0.5072752430559042
DS02,2.548968189006109,15,1000,B_无约束+收缩,0.9746964983521307,0.009039242124301463,0.007421436413627058,0.9905836107843674,0.012462071355032661
DS02,2.548968189006109,15,1000,C_约束无收缩,-0.5459840100893552,0.0049100732648348815,0.00114478582775945,0.9969564599163522,0.09740974797068719
DS02,2.548968189006109,15,1000,D_约束+收缩★,0.9904083545687731,0.002735829466103772,0.0016391725352493496,0.9967897376656453,0.007672669278646662
DS03,27.880772740071986,10,1,Z_全零,0.0,0.005528642096300581,0.0,0.0,0.08708803360725222
DS03,27.880772740071986,10,1,A_无约束无收缩,-310.4399239413238,1.165739904192278,0.027384325715182227,0.09301730532903814,1.536900057666696
DS03,27.880772740071986,10,1,B_无约束+收缩,0.8441768735238717,0.017896126201358994,0.01682487325512525,0.9651068496524183,0.034377511934802915
DS03,27.880772740071986,10,1,C_约束无收缩,-0.0017543361094434218,0.008289777188750269,0.0009919028705349068,0.9886506307303577,0.0871643909738346
DS03,27.880772740071986,10,1,D_约束+收缩★,0.833757813067397,0.007977193788772523,0.0008608807803702825,0.9850514335850962,0.03550823670291541
DS03,27.880772740071986,10,10,Z_全零,0.0,0.005528642096300581,0.0,0.0,0.08708803360725222
DS03,27.880772740071986,10,10,A_无约束无收缩,-52.88756025917255,0.5506426003529344,0.010865792931994835,0.14593423624889415,0.6392971161085145
DS03,27.880772740071986,10,10,B_无约束+收缩,0.9489605989552757,0.010471971000751182,0.008401959136332258,0.9862336469482869,0.019674842714200946
DS03,27.880772740071986,10,10,C_约束无收缩,0.4078964391719414,0.003557064314822223,0.0020777182314487327,0.9483986872488552,0.06701273157248004
DS03,27.880772740071986,10,10,D_约束+收缩★,0.9739248711925873,0.0031864041090263603,0.00177489621104044,0.9776661898542764,0.01406279726349637
DS03,27.880772740071986,10,100,Z_全零,0.0,0.005528642096300581,0.0,0.0,0.08708803360725222
DS03,27.880772740071986,10,100,A_无约束无收缩,-16.163196671592996,0.2950812518375884,0.006186561478761613,0.2952385505325959,0.36079256069468285
DS03,27.880772740071986,10,100,B_无约束+收缩,0.9589391477744028,0.006172839093594998,0.006296038661738679,0.992276856103766,0.017647064135231098
DS03,27.880772740071986,10,100,C_约束无收缩,0.489810159700271,0.004301841070634795,0.001050431747833958,0.9542236171633768,0.062204870110059804
DS03,27.880772740071986,10,100,D_约束+收缩★,0.8529748768413316,0.004018324970536837,0.0009012335813402831,0.9890153888174944,0.03339290950275718
DS03,27.880772740071986,10,1000,Z_全零,0.0,0.005528642096300581,0.0,0.0,0.08708803360725222
DS03,27.880772740071986,10,1000,A_无约束无收缩,-16.84672008548514,0.3495077458613374,0.005732728113993217,0.30128562558828514,0.3679066946620467
DS03,27.880772740071986,10,1000,B_无约束+收缩,0.9615276574635151,0.005606945394426023,0.0059149832345299315,0.993096806107086,0.017081767247514142
DS03,27.880772740071986,10,1000,C_约束无收缩,0.5958275811767941,0.0030633713598527345,0.0010215822624883777,0.9479523193082612,0.05536583081572797
DS03,27.880772740071986,10,1000,D_约束+收缩★,0.8201156633345232,0.0028508209414391797,0.0009218319138326146,0.9738386984168838,0.03693645054922433
DS03,27.880772740071986,11,1,Z_全零,0.0,0.005299265258821372,0.0,0.0,0.08344252482394354
DS03,27.880772740071986,11,1,A_无约束无收缩,-507.472414240496,1.7397964595125108,0.02937139787482649,0.040725171784897596,1.881573270281744
DS03,27.880772740071986,11,1,B_无约束+收缩,0.8823171652197788,0.020052387987997664,0.01663503652594822,0.931023541394445,0.028624901257370338
DS03,27.880772740071986,11,1,C_约束无收缩,-0.9893515300844817,0.00785669921287643,0.003392135908499577,0.9857404879993826,0.11769098638482203
