subset,unit,N,method,lam,skill,rmse,false_alarm,detect_corr
DS02,11,100,D_约束+收缩★,3162.2776601683795,0.49887230608216926,0.059069274738523345,0.005191523934038915,0.9964134949627438
DS02,11,100,B_岭回归,10000.0,0.24654388887594525,0.07242965498307996,0.0037423764383437935,0.9966145556420845
DS02,11,100,D_约束+收缩★,10000.0,0.24723230191422518,0.07239655888590332,0.002830428258861502,0.9964159368043339
DS02,11,1000,Z_全零哨兵,,0.0,0.08344252482394354,0.0,0.0
DS02,11,1000,B_岭回归,1e-06,-24.38900217469468,0.4204460270256675,0.009402439803551236,0.12105827232543691
DS02,11,1000,D_约束+收缩★,1e-06,0.08167162494186386,0.07996251375113558,0.0006575039901226432,0.9635289813410246
DS02,11,1000,B_岭回归,3.162277660168379e-06,-24.38570452986571,0.42041872137023095,0.009402293613745751,0.12106836621837219
DS02,11,1000,D_约束+收缩★,3.162277660168379e-06,0.08171553266783338,0.07996060211788696,0.000657500855926079,0.9635303981401172
DS02,11,1000,B_岭回归,1e-05,-24.375280662383542,0.4203323964270034,0.009401831444512097,0.1211002854512004
DS02,11,1000,D_约束+收缩★,1e-05,0.0818543498837545,0.07995455806068587,0.0006574909462699046,0.9635348751395248
DS02,11,1000,B_岭回归,3.1622776601683795e-05,-24.342359466332038,0.420059644047667,0.009400371171546039,0.1212012182898074
DS02,11,1000,D_约束+收缩★,3.1622776601683795e-05,0.08229301663126143,0.0799354556469099,0.00065745962461333,0.9635489995736713
DS02,11,1000,B_岭回归,0.0001,-24.238671567647224,0.4191994292655037,0.009395765692327088,0.12152034954254294
DS02,11,1000,D_约束+收缩★,0.0001,0.08367709120361566,0.07987515405811822,0.0006573607308572411,0.9635933356051175
DS02,11,1000,B_岭回归,0.00031622776601683794,-23.914911982745025,0.4165020230688206,0.009381323870868746,0.1225290664182595
DS02,11,1000,D_约束+收缩★,0.00031622776601683794,0.08802301955700453,0.07968551333994418,0.0006570495333911608,0.9637302904651831
DS02,11,1000,B_岭回归,0.001,-22.930863695069203,0.40819400600717404,0.009336840520297101,0.12571424027553932
DS02,11,1000,D_约束+收缩★,0.001,0.10146371395421605,0.07909613213607702,0.0006560805080866174,0.9641322812735771
DS02,11,1000,B_岭回归,0.0031622776601683794,-20.173303227732646,0.3839562533741735,0.009208650083411337,0.1357392943550562
DS02,11,1000,D_约束+收缩★,0.0031622776601683794,0.14108512556957442,0.07733257981742193,0.0006531641777766121,0.9651246324049434
DS02,11,1000,B_岭回归,0.01,-13.996839887880991,0.3231374652754331,0.008888806982040675,0.16694863013848382
DS02,11,1000,D_约束+收缩★,0.01,0.20385488459738366,0.07445323181619298,0.0006488247898775454,0.9620713867396319
DS02,11,1000,B_岭回归,0.03162277660168379,-5.626131511643928,0.2147916836430954,0.00838952300829677,0.26026274077410105
DS02,11,1000,D_约束+收缩★,0.03162277660168379,0.4280776696598353,0.06310386552172044,0.0006289488062849438,0.9684811195313485
DS02,11,1000,B_岭回归,0.1,-0.5333719522504081,0.10332637520006961,0.007983065893480312,0.4975582673724139
DS02,11,1000,D_约束+收缩★,0.1,0.6878002256806452,0.04662337722365895,0.0005994954256236097,0.9752070819922553
DS02,11,1000,B_岭回归,0.31622776601683794,0.7807100779538864,0.03907480084400913,0.007748046136519349,0.8344018665742645
DS02,11,1000,D_约束+收缩★,0.31622776601683794,0.7478780492364798,0.04189794921274494,0.0005905042645737125,0.97442708067586
DS02,11,1000,B_岭回归,1.0,0.957431279377478,0.017216019090218408,0.007599037078571581,0.9717747301619291
DS02,11,1000,D_约束+收缩★,1.0,0.8426986317126808,0.03309433713476218,0.0005710763863920493,0.9767286040891013
DS02,11,1000,B_岭回归,3.1622776601683795,0.9709624199555176,0.014218953913827057,0.007350050201004655,0.9892470818915581
DS02,11,1000,D_约束+收缩★,3.1622776601683795,0.9378052207701296,0.02080963208243897,0.0005589144899809453,0.9883309911539776
DS02,11,1000,B_岭回归,10.0,0.972845777503747,0.013750108423195514,0.006715338511548147,0.9915025531823628
DS02,11,1000,D_约束+收缩★,10.0,0.97155328476718,0.014073544777291523,0.0005642335733232045,0.9948787143338725
DS02,11,1000,B_岭回归,31.622776601683793,0.9769363476824996,0.01267218422176425,0.0056116924385496815,0.9936465535919194
DS02,11,1000,D_约束+收缩★,31.622776601683793,0.9800949406669321,0.011772512895529698,0.0008100293691054622,0.9961939033607076
DS02,11,1000,B_岭回归,100.0,0.9682137155983754,0.014876724451273405,0.005570621602973821,0.9957837547574894
DS02,11,1000,D_约束+收缩★,100.0,0.9701108734791536,0.014425937567156325,0.0020607545526377617,0.9957791647667995
DS02,11,1000,B_岭回归,316.22776601683796,0.8974312520953732,0.02672360006081352,0.007379222840991591,0.996756559293389
DS02,11,1000,D_约束+收缩★,316.22776601683796,0.8985511750978178,0.02657730540846548,0.00480076429957951,0.9952840730423415
DS02,11,1000,B_岭回归,1000.0,0.7368552087708705,0.042804046338560164,0.008640132627442558,0.996950430161171
