subset,unit,N,method,lambda,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta,tau_required
DS03,11,1000,D,31.6227766016838,0.980660122907545,0.0116041755825533,0.0026843978278861,0.000842319632367752,0.996233279729743,5.11126754905736,1.87602707663537,0.835096698436632,6.1205697000432
DS03,12,1,D,31.6227766016838,0.914871941227067,0.0216965980269945,0.00685954169889915,0.0057964162512475,0.985472639058771,28.5675799522124,1.98002021429823,31.6736812712108,0.901934312832097
DS03,12,10,D,31.6227766016838,0.939639038483501,0.0182697814624853,0.00485150949315535,0.0031247338412815,0.992000807058397,9.69176399858124,1.90370287022965,10.0160974699243,0.967618778439707
DS03,12,100,D,31.6227766016838,0.946135070377348,0.0172587097989457,0.00399676395825847,0.00302940499500246,0.995215392053771,5.91030487254207,1.90286600831482,3.16736812712108,1.86599872049421
DS03,12,1000,D,31.6227766016838,0.946977350467356,0.0171232418468804,0.0037246538384184,0.00302693934058683,0.995317830475957,5.30671280971494,1.90541230104478,1.00160974699243,5.29818407383672
DS03,13,1,D,31.6227766016838,0.96479756049105,0.0162784705530597,0.00636668281777656,0.00240287372917279,0.971620879165304,31.0210256708496,2.1775095975803,32.7190983755516,0.948101482344917
DS03,13,10,D,31.6227766016838,0.985869970580371,0.0103133261189162,0.00348860100228716,0.000853532147125929,0.992459960760642,10.9008560753482,2.11400610071467,10.3466873853858,1.05356001097946
DS03,13,100,D,31.6227766016838,0.98872421626894,0.00921298972004074,0.00337822418115968,0.000801234253657487,0.994218741386536,6.57212014427085,2.1271977005556,3.27190983755516,2.00864952598501
DS03,13,1000,D,31.6227766016838,0.988021440334691,0.00949575537535056,0.00317534282122603,0.000844125000788063,0.994309752955143,6.06579682673738,2.11960997105573,1.03466873853858,5.86254962656454
DS03,14,1,D,31.6227766016838,0.894866359769445,0.0253414914290148,0.00311695043709889,0.00219295490112295,0.98704828370602,22.7388647309986,1.74068628366086,29.0812815980239,0.781907243473881
DS03,14,10,D,31.6227766016838,0.856340121010033,0.0296230020116182,0.00299634108140261,0.00244900716010436,0.990642142291818,9.88341320025712,1.74027641722363,9.19630871264969,1.07471524815846
DS03,14,100,D,31.6227766016838,0.856655415928703,0.0295904768821381,0.00233970942684564,0.00183186765394258,0.993864407248205,5.56484170711974,1.72729630498924,2.90812815980239,1.91354761596816
DS03,14,1000,D,31.6227766016838,0.855861965698543,0.0296722594288199,0.00229421101592415,0.00171711526776967,0.994481976454558,4.69241907263281,1.73211336456758,0.919630871264969,5.10250277503005
DS03,15,1,D,31.6227766016838,0.961325505594583,0.0154067928457174,0.00404078493426397,0.00300251643570028,0.982013308773601,22.5745917283416,1.77995878179634,28.9427608887877,0.779973680295541
DS03,15,10,D,31.6227766016838,0.985885388736268,0.00930752864744061,0.00290295521941596,0.00218951842255234,0.994639408650663,10.1801442525257,1.81663665632327,9.15250461822085,1.11227960838818
DS03,15,100,D,31.6227766016838,0.986637175258591,0.00905626364300262,0.00278679040982005,0.00171872702914113,0.99614316359693,6.19376766468667,1.78736048297055,2.89427608887877,2.14000581647555
