method,regime,subset,unit,RMSE,inactive_component_error,detection_FAR,detection_DR,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,n_reference_cycles
D_full,test_id,DS07_id,3,0.017639945393967,0.0029682613203853,0,0.886792452830189,0.94,0.426860465116279,0.881025015253203,0.230769230769231,3
D_full,test_id,DS06_id,4,0.0175635392298555,0.00212731173031214,0.78125,1,0.814814814814815,0.505336884280434,0.819357930043124,0.448275862068966,3
D_full,ood_combo,DS02,11,0.0255573811147832,0.000625236336225186,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,3
D_full,ood_combo,DS02,14,0.0403656957738328,0.00152222462088282,0.657142857142857,1,0.780952380952381,0.404805860805861,0.574065934065934,0.736842105263158,3
D_full,ood_combo,DS02,15,0.0887067449147367,0.00310238136795332,0.260869565217391,1,0.936170212765957,0.376481354381148,0.866701053717486,0.283582089552239,3
D_full,ood_combo,DS03,10,0.0375699129840425,0.00115692835871222,0.235294117647059,1,0.96078431372549,0.954620412267471,0.93236444941308,0.136363636363636,3
D_full,ood_combo,DS03,11,0.0254481995692607,0.000864908143577941,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,3
D_full,ood_combo,DS03,12,0.0243134273402481,0.00244165066781505,0.777777777777778,1,0.802816901408451,0.832856684455327,0.722312703583062,0.473118279569892,3
D_full,ood_combo,DS03,13,0.0596671174279911,0.000878744816027899,0.444444444444444,1,0.936507936507936,0.957021380524706,0.850574712643678,0.233766233766234,3
D_full,ood_combo,DS03,14,0.0162361878759485,0.00144635290659503,0.657142857142857,1,0.780952380952381,0.482566713814239,0.623675725472133,0.631578947368421,3
D_full,ood_combo,DS03,15,0.0871082105770529,0.0024073263817471,0.5,1,0.877551020408163,0.362466725820763,0.815765352887259,0.388059701492537,3
D_full,test_id,DS01-005_id,4,0.0852486007417622,0.0226668206345696,0.567567567567568,1,0.846715328467153,0.175757575757576,0.757795646205138,0.431578947368421,5
D_full,test_id,DS04_id,6,0.0300745131963466,0.00328503458274498,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012,5
D_full,test_id,DS05_id,2,0.00442244157901735,0.00129372153317866,0,0.758064516129032,0.862385321100917,0.571412390984256,0.87792083929423,0.275,5
D_full,test_id,DS07_id,3,0.0278408202415975,0.00398138604631572,0,0.924528301886792,0.96078431372549,0.622666936190284,0.930872693149828,0.141025641025641,5
D_full,test_id,DS06_id,4,0.0182072726669591,0.00216932469138578,0,0.981818181818182,0.990825688073394,0.514066470984607,0.966636840086923,0.0804597701149425,5
D_full,ood_combo,DS02,11,0.0268298333985518,0.000577722201319607,0.611111111111111,1,0.881720430107527,0.881930546773839,0.662566094744793,0.525423728813559,5
D_full,ood_combo,DS02,14,0.0546528580969931,0.00125522694954475,0.542857142857143,1,0.811881188118812,0.361931793179318,0.648299612569953,0.631578947368421,5
D_full,ood_combo,DS02,15,0.0873399763362463,0.00274238230329433,0.260869565217391,1,0.936170212765957,0.376481354381148,0.866701053717486,0.283582089552239,5
D_full,ood_combo,DS03,10,0.0433835667452769,0.00072369780387242,0.235294117647059,1,0.96078431372549,0.954620412267471,0.93236444941308,0.136363636363636,5
D_full,ood_combo,DS03,11,0.0273363858107235,0.000805516616086894,0.444444444444444,1,0.911111111111111,0.940137077648923,0.771131073907718,0.406779661016949,5
D_full,ood_combo,DS03,12,0.0512286395645529,0.00164488099446633,0.722222222222222,1,0.814285714285714,0.627509716560811,0.673020714194942,0.505376344086022,5
D_full,ood_combo,DS03,13,0.0616671699863751,0.000824761833325106,0.277777777777778,1,0.959349593495935,0.879284302787629,0.867583834909716,0.207792207792208,5
D_full,ood_combo,DS03,14,0.0459063227412246,0.00113111522755173,0.542857142857143,1,0.811881188118812,0.369854498493328,0.648989350141274,0.618421052631579,5
D_full,ood_combo,DS03,15,0.0865452009669781,0.00225029065319184,0.5,1,0.877551020408163,0.453083407275954,0.811525887630198,0.402985074626866,5
