method,regime,subset,unit,RMSE,inactive_component_error,detection_FAR,detection_DR,detection_F1,isolation_macroF1,stage_kappa,stage_MAE
sign_only,ood_combo,DS03,10,0.0595553172824379,0.00209488440294322,0,0.816326530612245,0.898876404494382,0.59592176446109,0.862377122430742,0.242424242424242
sign_only,ood_combo,DS03,11,0.0467336238447695,0.0010749303098969,0,0.585365853658537,0.738461538461538,0.464733081126524,0.702946838442174,0.610169491525424
sign_only,ood_combo,DS03,12,0.0528904989244755,0.00288986100489317,0.222222222222222,1,0.934426229508197,0.565098598241863,0.878678069285404,0.21505376344086
sign_only,ood_combo,DS03,13,0.0633476860012782,0.00162006328540479,0.222222222222222,1,0.967213114754098,0.801862821631385,0.867524602573808,0.220779220779221
sign_only,ood_combo,DS03,14,0.0603130719904203,0.00196986924208396,0.4,1,0.854166666666667,0.869197108066971,0.743131269079808,0.447368421052632
sign_only,ood_combo,DS03,15,0.073002699884787,0.00353231758622359,0,0.837209302325581,0.911392405063291,0.607594936708861,0.844254570584909,0.343283582089552
D_no_shrink,test_id,DS01-005_id,4,0.106343777770818,0.0262777223152542,0.432432432432432,1,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211
D_no_shrink,test_id,DS04_id,6,0.0281613477617873,0.00347476179164104,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012
D_no_shrink,test_id,DS05_id,2,0.00555829221908247,0.00205516672791182,0,0.758064516129032,0.862385321100917,0.560477646716179,0.865694551036071,0.3125
D_no_shrink,test_id,DS07_id,3,0.017337017724254,0.00306719400418881,0,0.924528301886792,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205
D_no_shrink,test_id,DS06_id,4,0.0176451204310097,0.00194241699866805,0,0.981818181818182,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195
D_no_shrink,ood_combo,DS02,11,0.0281825539524668,0.000658226076789658,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559
D_no_shrink,ood_combo,DS02,14,0.0411510776309632,0.00160860600060324,0.657142857142857,1,0.780952380952381,0.404805860805861,0.574065934065934,0.736842105263158
D_no_shrink,ood_combo,DS02,15,0.0912218816230395,0.00355591248792804,0.478260869565217,1,0.888888888888889,0.307568438003221,0.832969772514802,0.358208955223881
D_no_shrink,ood_combo,DS03,10,0.0483129133567658,0.00107655500159848,0.235294117647059,1,0.96078431372549,0.715965309200603,0.93236444941308,0.136363636363636
D_no_shrink,ood_combo,DS03,11,0.0262537099386157,0.000599463310223989,0.611111111111111,1,0.881720430107527,0.930943847072879,0.662566094744793,0.525423728813559
D_no_shrink,ood_combo,DS03,12,0.0257263266030476,0.00247936721780106,0.777777777777778,1,0.802816901408451,0.836965903163086,0.633144411698028,0.548387096774194
D_no_shrink,ood_combo,DS03,13,0.0600523563649611,0.000874832177582511,0.444444444444444,1,0.936507936507936,0.914465905465005,0.769736842105263,0.311688311688312
D_no_shrink,ood_combo,DS03,14,0.0319502536161533,0.00118272750658214,0.657142857142857,1,0.780952380952381,0.603208392267798,0.622291713200804,0.671052631578947
D_no_shrink,ood_combo,DS03,15,0.0868051016380366,0.00282632295017114,0.5,1,0.877551020408163,0.362466725820763,0.815765352887259,0.388059701492537
