perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
noise,0,44,NaN,ood_combo,DS03,13,0.0580133545799088,0.936507936507936,0.962307053216144,0.850574712643678,0.233766233766234,0
noise,0,44,NaN,ood_combo,DS03,14,0.0253062428508667,0.780952380952381,0.603208392267798,0.622743682310469,0.657894736842105,0
noise,0,44,NaN,ood_combo,DS03,15,0.0867965871569883,0.877551020408163,0.362466725820763,0.815765352887259,0.388059701492537,0
noise,0.25,44,NaN,test_id,DS01-005_id,4,0.122006250015835,0.834532374100719,0.154666666666667,0.756693830034924,0.421052631578947,0.0620904977020552
noise,0.25,44,NaN,test_id,DS04_id,6,0.0279436665433491,0.928,0.260080283353011,0.934476147513251,0.168674698795181,0.0661759445879166
noise,0.25,44,NaN,test_id,DS05_id,2,0.00564888268609766,0.862385321100917,0.571412390984256,0.871794871794872,0.2875,0.0586391210241823
noise,0.25,44,NaN,test_id,DS07_id,3,0.0133393585365697,0.907216494845361,0.35348630972176,0.838747784997047,0.307692307692308,0.064372434509471
noise,0.25,44,NaN,test_id,DS06_id,4,0.0176356461026339,0.932203389830508,0.531597835074405,0.932842936929574,0.195402298850575,0.0638688119385359
noise,0.25,44,NaN,ood_combo,DS02,11,0.0249083553414847,0.881720430107527,0.904914219957218,0.662566094744793,0.525423728813559,0.0658361011513741
noise,0.25,44,NaN,ood_combo,DS02,14,0.0523500768430634,0.780952380952381,0.250692380512075,0.574028856825749,0.723684210526316,0.0667774940966002
noise,0.25,44,NaN,ood_combo,DS02,15,0.0920428479667734,0.98876404494382,0.393101646198066,0.94347581552306,0.149253731343284,0.0618795798631774
noise,0.25,44,NaN,ood_combo,DS03,10,0.0441144382325902,0.933333333333333,0.67834868887314,0.916973098509774,0.166666666666667,0.0587495826680681
noise,0.25,44,NaN,ood_combo,DS03,11,0.0372023614426296,0.872340425531915,0.668778371804597,0.650811047786059,0.542372881355932,0.0653403400711517
noise,0.25,44,NaN,ood_combo,DS03,12,0.0416550025056292,0.802816901408451,0.832856684455327,0.65421388101983,0.516129032258065,0.0583548575258344
noise,0.25,44,NaN,ood_combo,DS03,13,0.0378065719466399,0.936507936507936,0.962307053216144,0.7779632721202,0.285714285714286,0.0599439870921035
noise,0.25,44,NaN,ood_combo,DS03,14,0.0470845742204152,0.780952380952381,0.603208392267798,0.622743682310469,0.657894736842105,0.0655814257834651
